ending1,ending2,labels,startphrase,instruction_column
Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,1,Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga., Options: 0) Minum kopi saat senja itu rasanya melegakan. 1) Minum kopi saat senja itu rasanya membawa penyesalan."
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,0,Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian., Options: 0) Sepak bola adalah hal yang serius bagi masyarakat Indonesia. 1) Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia."
Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,1,Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja., Options: 0) Sepak bola adalah hal yang serius bagi masyarakat Indonesia. 1) Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia."
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",0,"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah., Options: 0) Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause. 1) Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa."
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",1,"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang., Options: 0) Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause. 1) Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa."
Menuntut ilmu itu adalah hal yang melelahkan.,Menuntut ilmu itu adalah menyenangkan.,0,Menuntut ilmu itu ibarat pendakian panjang yang melelahkan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menuntut ilmu itu ibarat pendakian panjang yang melelahkan., Options: 0) Menuntut ilmu itu adalah hal yang melelahkan. 1) Menuntut ilmu itu adalah menyenangkan."
Menuntut ilmu itu adalah hal yang melelahkan.,Menuntut ilmu itu adalah menyenangkan.,1,Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari., Options: 0) Menuntut ilmu itu adalah hal yang melelahkan. 1) Menuntut ilmu itu adalah menyenangkan."
Pegunungan berjajar dengan rapi.,Pegunungan berjajar dengan semrawut.,0,Pegunungan berjajar seperti pasukan paskibraka.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pegunungan berjajar seperti pasukan paskibraka., Options: 0) Pegunungan berjajar dengan rapi. 1) Pegunungan berjajar dengan semrawut."
Pegunungan berjajar dengan rapi.,Pegunungan berjajar dengan semrawut.,1,Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta., Options: 0) Pegunungan berjajar dengan rapi. 1) Pegunungan berjajar dengan semrawut."
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,0,Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan., Options: 0) Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat. 1) Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah."
Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,1,Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara., Options: 0) Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat. 1) Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah."
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.,Warna baju lebaran keluargaku di tahun ini adalah hijau tua.,0,Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek., Options: 0) Warna baju lebaran keluargaku di tahun ini adalah hijau muda. 1) Warna baju lebaran keluargaku di tahun ini adalah hijau tua."
Warna baju lebaran keluargaku di tahun ini adalah hijau muda.,Warna baju lebaran keluargaku di tahun ini adalah hijau tua.,1,Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab., Options: 0) Warna baju lebaran keluargaku di tahun ini adalah hijau muda. 1) Warna baju lebaran keluargaku di tahun ini adalah hijau tua."
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,0,Kata-katanya saat mewawancarai narasumber seperti silet.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kata-katanya saat mewawancarai narasumber seperti silet., Options: 0) Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber. 1) Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja."
Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,1,Kata-katanya saat mewawancarai narasumber seperti gunting kuku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kata-katanya saat mewawancarai narasumber seperti gunting kuku., Options: 0) Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber. 1) Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja."
Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.,"Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",0,Kepercayaan itu ibarat gelas kaca.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kepercayaan itu ibarat gelas kaca., Options: 0) Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali. 1) Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak."
